ID,Universe,Controller,Output,Name,Location,Comment,Active,Type,Color
1,1,1,1,$Tree- Tomato A1.1 (L} (R),Front row leftmost,,True,14,#FF0000
2,1,1,2,$Tree- Tomato A1.2 (L} (G),Front row leftmost,,True,14,#00FF00
3,1,1,3,$Tree- Tomato A1.3 (L} (B),Front row leftmost,,True,14,#0000FF
4,1,1,4,$Tree- Tomato A1.4 {L} (W),Front row leftmost,,True,14,#FFFFFF
5,1,1,5,$Tree- Tomato A2.1 (R),Front row near left,,True,14,#FF0000
6,1,1,6,$Tree- Tomato A2.2 (G),Front row near left,,True,14,#00FF00
7,1,1,7,$Tree- Tomato A2.3 (B),Front row near leaft,,True,14,#0000FF
8,1,1,8,$Tree- Tomato A2.4 (W),Front row near left,,True,14,#FFFFFF
9,1,1,9,$Tree- Tomato A3.1 (R),Front row 3rd from left,,True,14,#FF0000
10,1,1,10,$Tree- Tomato A3.2 (G),Front row 3rd from left,,True,14,#00FF00
11,1,1,11,$Tree- Tomato A3.3 (B),Front row 3rd from left,,True,14,#0000FF
12,1,1,12,$Tree- Tomato A3.4 (W),Front row 3rd from left,,True,14,#FFFFFF
13,1,1,13,$Tree- Tomato A4.1 {CL} (R),Front row left of center,,True,14,#FF0000
14,1,1,14,$Tree- Tomato A4.2 {CL} (G),Front row left of center,,True,14,#00FF00
15,1,1,15,$Tree- Tomato A4.3 {CL} (B),Front row left of center,,True,14,#0000FF
16,1,1,16,$Tree- Tomato A4.4 {CL} (W),Front row left of center,,True,14,#FFFFFF
17,1,2,1,$Tree- Tomato A5.1 {CR} (R),Front row right of center,,True,14,#FF0000
18,1,2,2,$Tree- Tomato A5.2 {CR} (G),Front row right of center,,True,14,#00FF00
19,1,2,3,$Tree- Tomato A5.3 {CR} (B),Front row right of center,,True,14,#0000FF
20,1,2,4,Tree- Tomato A5.4 {CR} (W),Front row right of center,,True,14,#FFFFFF
21,1,2,5,$Tree- Tomato A6.1 (R),Front row third from right,,True,14,#FF0000
22,1,2,6,$Tree- Tomato A6.2 (G),Front row third from right,,True,14,#00FF00
23,1,2,7,$Tree- Tomato A6.3 (B),Front row third from right,,True,14,#0000FF
24,1,2,8,$Tree- Tomato A6.4 (W),Front row third from right,,True,14,#FFFFFF
25,1,2,9,$Tree- Tomato A7.1 (R),Front row near right,,True,14,#FF0000
26,1,2,10,$Tree- Tomato A7.2 (G),Front row near right,,True,14,#00FF00
27,1,2,11,$Tree- Tomato A7.3 (B),Front row near right,,True,14,#0000FF
28,1,2,12,$Tree- Tomato A7.4 (W),Front row near right,,True,14,#FFFFFF
29,1,2,13,$Tree- Tomato A8.1 {R} (R),Front row rightmost,,True,14,#FF0000
30,1,2,14,$Tree- Tomato A8.2 {R} (G),Front row rightmost,,True,14,#00FF00
31,1,2,15,$Tree- Tomato A8.3 {R} (B),Front row rightmost,,True,14,#0000FF
32,1,2,16,$Tree- Tomato A8.4 {R} (W),Front row rightmost,,True,14,#FFFFFF
33,1,3,1,$Tree- Tomato B1.1 {L} (V),"Back row, leftmost",,True,14,#8000FF
34,1,3,2,$Tree- Tomato B1.2 {L} (W),"Back row, leftmost",,True,14,#FFFFFF
35,1,3,3,$Tree- Tomato B2.1 (V),Back row 2nd from Left,,True,14,#8000FF
36,1,3,4,$Tree- Tomato B2.2 (W),Back row 2nd from left,,True,14,#FFFFFF
37,1,3,5,$Tree- Tomato B3.1 (V),,,True,14,#8000FF
38,1,3,6,$Tree- Tomato B3.2 (W),,,True,14,#FFFFFF
39,1,3,7,$Tree- Tomato B4.1 {CL} (V),Back row left of Center,,True,14,#8000FF
40,1,3,8,$Tree- Tomato B4.2 {CL} (W),Back row left of Center,,True,14,#FFFFFF
41,1,3,9,$Tree- Tomato B5.1 {CR} (V),Back row right of center,,True,14,#8000FF
42,1,3,10,$Tree- Tomato B5.2 {CR} (W),Back row right of center,,True,14,#FFFFFF
43,1,3,11,$Tree- Tomato B6.1 (V),,,True,14,#8000FF
44,1,3,12,$Tree- Tomato B6.2 (W),,,True,14,#FFFFFF
45,1,3,13,$Tree- Tomato B7.1 (V),Back row 2nd from the right,,True,14,#8000FF
46,1,3,14,$Tree- Tomato B7.2 (W),Back row 2nd from the right,,True,14,#FFFFFF
47,1,3,15,$Tree- Tomato B8.1 {R} (V),Back row rightmost,,True,14,#8000FF
48,1,3,16,$Tree- Tomato B8.2 {R} (W),Back row rightmost,,True,14,#FFFFFF
49,1,5,2,Tree- Spiral 2 {F} (WG),Yard center near house,,False,14,#00FF00
50,1,5,3,Tree- Spiral 3 {R} (WB),Yard center near house,,False,14,#0000FF
51,1,5,4,Tree- Spiral 4 {B} (WV),Yard center near house,,True,14,#8000FF
52,1,5,5,Tree- Big AC 1 (M),Back row center,,True,14,#804040
53,1,5,6,Tree- Small {L} (B),,,False,14,#0000FF
54,1,5,7,Tree- Tinsel 1 {L} (R),Behind back row on left,,True,14,#FF0000
55,1,5,8,Tree- Tinsel 2 {R} (R),Behind back row on right,,True,14,#FF0000
56,1,5,9,Trees- Rainbow (ROYGBV),Left yard,,True,14,#804040
57,1,5,10,Trees- Willow and Palm (GW),Left yard,,True,14,#A4FFA4
58,1,5,11,Strobes- C9- Trees {FC} (W),Front Trees,,True,5,#FFFFFF
59,1,5,12,Presents (M),Under the front Pixel tree,,True,9,#804040
60,1,5,13,New Tree #1,New Tree #1,,True,14,#FF0000
61,1,5,14,New Tree #2,,,True,14,#FF8000
62,1,5,15,New Tree #3,,,True,14,#00FF00
63,1,5,16,New Tree #4,Yard,,True,14,#80FFFF
64,1,6,1,(Future Tree) O01,Controller D Output 1,,False,18,#C0C0C0
65,1,6,2,(Future Tree) O02,Controller D Output 2,,False,18,#C0C0C0
66,1,6,3,(Future Tree) O03,Controller D Output 3,,False,18,#C0C0C0
67,1,6,4,(Future Tree) O04,Controller D Output 4,,False,18,#C0C0C0
68,1,6,5,(Future Tree) O05,Controller D Output 5,,False,18,#C0C0C0
69,1,6,6,(Future Tree) O06,Controller D Output 6,,False,18,#C0C0C0
70,1,6,7,(Future Tree) O07,Controller D Output 7,,False,18,#C0C0C0
71,1,6,8,(Future Tree) O08,Controller D Output 8,,False,18,#C0C0C0
72,1,6,9,(Future Tree) O09,Controller D Output 9,,False,18,#C0C0C0
73,1,6,10,(Future Tree) O10,Controller D Output 10,,False,18,#C0C0C0
74,1,6,11,(Future Tree) O11,Controller D Output 11,,False,18,#C0C0C0
75,1,6,12,(Future Tree) O12,Controller D Output 12,,False,18,#C0C0C0
76,1,6,13,(Future Tree) O13,Controller D Output 13,,False,18,#C0C0C0
77,1,6,14,(Future Tree) O14,Controller D Output 14,,False,18,#C0C0C0
78,1,6,15,(Future Tree) O15,Controller D Output 15,,False,18,#C0C0C0
79,1,6,16,(Future Tree) O16,Controller D Output 16,,False,18,#C0C0C0
80,1,7,1,Bushes 1 {S} Rainbow (ROGBV),Left side of house,,False,22,#804040
81,1,7,2,Bushes 2.1 {L} (M),Left front of house,,True,22,#804040
82,1,7,3,Bushes 2.2 {L} (W),Left front of house,,True,22,#FFFFFF
83,1,7,4,Bushes 2.3 {L} Low (O),Left front of house,,True,22,#FF8000
84,1,7,5,Strobes- 5mm- Bushes {BLC} (W),In the front bushes,,True,5,#FFFFFF
85,1,7,6,Strobes- C9- Bushes {BLC} (W),In the bushes and on the house,,True,5,#FFFFFF
86,1,7,7,Coexist Flag (MRGB),Left middle yard,,True,2,#400000
87,1,7,8,Lamp Post Directions (O),Far front left corner of yard,,True,7,#FF8000
88,1,7,9,Laser- Streetlight (R),On top of Lamp Post Directions,,False,3,#FF0000
89,1,7,10,Menorah (B),Left Yard,,True,7,#0000FF
90,1,7,11,Peace Sign (RGB),RV Roof,,True,21,#400000
91,1,7,12,BAD TRIAC D12,Controller D Output 12,Bad Triac!,False,28,#000000
92,1,7,13,Snowman (W),,,True,17,#FFFFFF
93,1,7,14,UFOs 1 {L} (RGB),Left front wall of house,,True,15,#400000
94,1,7,16,Inflatable Arch Lights,In front of RV,,True,16,#FFFFFF
95,1,8,1,Bushes 3.1 {C} (R),Front Center bushes,,True,22,#FF0000
96,1,8,2,Bushes 3.2 {C} (G),Front Center bushes,,True,22,#00FF00
97,1,8,3,Bushes 3.3 {C} (B),Front Center bushes,,True,22,#0000FF
98,1,8,4,Bushes 3.4 {C} (W),Front Center bushes,,True,22,#FFFFFF
99,1,8,5,Spare E05,,,True,18,#C0C0C0
100,1,8,6,Spare F06,,,True,18,#C0C0C0
101,1,8,7,Lamp Posts (Y),,,True,1,#FFFF00
102,1,8,8,Lasers- House Front (RGB),Projecting onto front center wall- Chimn,,True,3,#400000
103,1,8,9,Mailboxes (O),,,True,22,#FF8000
104,1,8,10,Spare F10,,,False,18,#C0C0C0
105,1,8,11,Snowfall Projectors (WB),In middle bushes projecting on house wal,,True,2,#B0FFFF
106,1,8,12,Swirlies- Snowflakes (WB),Front of the House,,True,2,#6AB5FF
