ID,Universe#,ControllerID,Output#,Name,Location,Comment,Active,Type,Color,ColorName
1,1,1,1,$Tree- Tomato A1.1 (L} (R),Front row leftmost,,True,5,#FF8000,Orange
2,1,1,2,$Tree- Tomato A1.2 (L} (G),Front row leftmost,,True,14,#00FF00,Green
3,1,1,3,$Tree- Tomato A1.3 (L} (B),Front row leftmost,,True,14,#0000FF,Blue
4,1,1,4,$Tree- Tomato A1.4 {L} (W),Front row leftmost,,True,14,#FFFFFF,Transparent
5,1,1,5,$Tree- Tomato A2.1 (R),Front row near left,,True,14,#FF0000,Red
6,1,1,6,$Tree- Tomato A2.2 (G),Front row near left,,True,14,#00FF00,Green
7,1,1,7,$Tree- Tomato A2.3 (B),Front row near leaft,,True,14,#0000FF,Blue
8,1,1,8,$Tree- Tomato A2.4 (W),Front row near left,,True,14,#FFFFFF,Transparent
9,1,1,9,$Tree- Tomato A3.1 (R),Front row 3rd from left,,True,14,#FF0000,Red
10,1,1,10,$Tree- Tomato A3.2 (G),Front row 3rd from left,,True,14,#00FF00,Green
11,1,1,11,$Tree- Tomato A3.3 (B),Front row 3rd from left,,True,14,#0000FF,Blue
12,1,1,12,$Tree- Tomato A3.4 (W),Front row 3rd from left,,True,14,#FFFFFF,Transparent
13,1,1,13,$Tree- Tomato A4.1 {CL} (R),Front row left of center,,True,14,#FF0000,Red
14,1,1,14,$Tree- Tomato A4.2 {CL} (G),Front row left of center,,True,14,#00FF00,Green
15,1,1,15,$Tree- Tomato A4.3 {CL} (B),Front row left of center,,True,14,#0000FF,Blue
16,1,1,16,$Tree- Tomato A4.4 {CL} (W),Front row left of center,,True,14,#FFFFFF,Transparent
17,1,2,1,$Tree- Tomato A5.1 {CR} (R),Front row right of center,,True,14,#FF0000,Red
18,1,2,2,$Tree- Tomato A5.2 {CR} (G),Front row right of center,,True,14,#00FF00,Green
19,1,2,3,$Tree- Tomato A5.3 {CR} (B),Front row right of center,,True,14,#0000FF,Blue
20,1,2,4,Tree- Tomato A5.4 {CR} (W),Front row right of center,,True,14,#FFFFFF,Transparent
21,1,2,5,$Tree- Tomato A6.1 (R),Front row third from right,,True,14,#FF0000,Red
22,1,2,6,$Tree- Tomato A6.2 (G),Front row third from right,,True,14,#00FF00,Green
23,1,2,7,$Tree- Tomato A6.3 (B),Front row third from right,,True,14,#0000FF,Blue
24,1,2,8,$Tree- Tomato A6.4 (W),Front row third from right,,True,14,#FFFFFF,Transparent
25,1,2,9,$Tree- Tomato A7.1 (R),Front row near right,,True,14,#FF0000,Red
26,1,2,10,$Tree- Tomato A7.2 (G),Front row near right,,True,14,#00FF00,Green
27,1,2,11,$Tree- Tomato A7.3 (B),Front row near right,,True,14,#0000FF,Blue
28,1,2,12,$Tree- Tomato A7.4 (W),Front row near right,,True,14,#FFFFFF,Transparent
29,1,2,13,$Tree- Tomato A8.1 {R} (R),Front row rightmost,,True,14,#FF0000,Red
