ID, Name, Display Order
# First column is the ID and *MUST* be in contiguous order from zero to ...?
#  Failure to do so will cause program errors and crashes!
# Second column is the name or description of the device type.
# Third column is the order to display in.  Should be contiguous from zero to ...?
#   but won't cause serious problems if there are duplicates or missing numbers.
#     (But if so they may not sort into the display order you want!)
#       You will probably want to display them in order from most used to the rarest. (but hey- that's up to you!)
# First device type with ID of 0 is reserved for unknown/unclassified/whuteva
# Do not (dramatically) change the name of a device for a certain ID.
# If you do all channels using that old device ID will get the new name.
#   (Unless none of your channels are assigned that device type)
0,Unclassified, 99
1,LED String, 1
2,Outline, 2
3,Tree, 3
4,RGBW Tree, 5
5,RGB Tree, 4
6,Spiral Tree,7
7,Candy Cane, 8
8,Inflatable, 10
9,Blowmold, 11
10,Single Light,17
11,Floodlight,16
12,RGB Flood, 18
13,Ropelight, 19
14,LED Strip, 20
15,RGB Strip, 21
16,Cutout, 14
17,Present(s),19
18,Wireframe, 13
19,Ground Cover, 22
20,Projector, 23
21,Laser, 24
22,Beacon, 25
23,Strobe, 26
24,Flicker Bulb, 27
25,Box, 28
26,Zone Power, 35
27,Sign, 32
28,Neon, 33
29,Motor, 34
30,Ornament,15
31,Wreath,12
32,Other..., 36
33,Spare, 37
34,Bad Triac, 38
