ID, Name, Display Order
# First column is the ID and *MUST* be in contiguous order from zero to ...?
#  Failure to do so will cause program errors and crashes!
# Second column is the name or description of the device type.
# Third column is the order to display in.  Should be contiguous from zero to ...?
#   but won't cause serious problems if there are duplicates or missing numbers.
#     (But if so they may not sort into the display order you want!)
#       You will probably want to display them in order from most used to the rarest. (but hey- that's up to you!)
# First device type with ID of 0 is reserved for unknown/unclassified/whuteva
# Do not (dramatically) change the name of a device for a certain ID.
# If you do all channels using that old device ID will get the new name.
#   (Unless none of your channels are assigned that device type)
0,Unclassified, 99
1,LED String, 1
2,Outline, 2
3,Tree, 3
5,RGBW Tree, 5
4,RGB Tree, 4
6,VW Tree,6
7,Spiral Tree,7
8,Candy Cane, 8
9,Spinny Projector,9
10,Inflatable, 10
11,Blowmold, 11
12,Single Light,12
13,Floodlight (single color),13
14,RGB Flood, 14
14,Ropelight, 15
16,LED Strip, 16
17,RGB Strip, 17
18,Cutout, 18
19,Present(s),19
20,Wireframe- Flat, 20
21,Wireframe- 3D, 21
22,Ground Cover, 22
23,Projector, 23
24,Laser, 24
25,Beacon, 25
26,Strobe(s), 26
27,Flicker Bulb, 27
28,Box, 28
29,Zone Power, 29
30,Sign, 30
31,Neon, 31
32,Motor, 32
33,UFO, 33
34,Ornament,34
35,Wreath,35
36,Other..., 36
37,Spare, 37
38,Bad Triac, 38
